DISTRICT,YEAR,SECTOR,SAFETY,S_RACE_AFRICAN_AMERICAN,S_RACE_ASIAN_AMERICAN,S_RACE_HISPANIC,S_RACE_WHITE,S_RACE_OTHER,S_AGE_LOW,S_AGE_MEDIUM,S_AGE_HIGH,S_SEX_FEMALE,S_SEX_MALE,S_EDUCATION_LOW,S_EDUCATION_MEDIUM,S_EDUCATION_HIGH,S_INCOME_LOW,S_INCOME_MEDIUM,S_INCOME_HIGH,TRUST,T_RACE_AFRICAN_AMERICAN,T_RACE_ASIAN_AMERICAN,T_RACE_HISPANIC,T_RACE_WHITE,T_RACE_OTHER,T_AGE_LOW,T_AGE_MEDIUM,T_AGE_HIGH,T_SEX_FEMALE,T_SEX_MALE,T_EDUCATION_LOW,T_EDUCATION_MEDIUM,T_EDUCATION_HIGH,T_INCOME_LOW,T_INCOME_MEDIUM,T_INCOME_HIGH,T_LISTEN,T_LISTEN_RACE_AFRICAN_AMERICAN,T_LISTEN_RACE_ASIAN_AMERICAN,T_LISTEN_RACE_HISPANIC,T_LISTEN_RACE_WHITE,T_LISTEN_RACE_OTHER,T_LISTEN_AGE_LOW,T_LISTEN_AGE_MEDIUM,T_LISTEN_AGE_HIGH,T_LISTEN_SEX_FEMALE,T_LISTEN_SEX_MALE,T_LISTEN_EDUCATION_LOW,T_LISTEN_EDUCATION_MEDIUM,T_LISTEN_EDUCATION_HIGH,T_LISTEN_INCOME_LOW,T_LISTEN_INCOME_MEDIUM,T_LISTEN_INCOME_HIGH,T_RESPECT,T_RESPECT_RACE_AFRICAN_AMERICAN,T_RESPECT_RACE_ASIAN_AMERICAN,T_RESPECT_RACE_HISPANIC,T_RESPECT_RACE_WHITE,T_RESPECT_RACE_OTHER,T_RESPECT_AGE_LOW,T_RESPECT_AGE_MEDIUM,T_RESPECT_AGE_HIGH,T_RESPECT_SEX_FEMALE,T_RESPECT_SEX_MALE,T_RESPECT_EDUCATION_LOW,T_RESPECT_EDUCATION_MEDIUM,T_RESPECT_EDUCATION_HIGH,T_RESPECT_INCOME_LOW,T_RESPECT_INCOME_MEDIUM,T_RESPECT_INCOME_HIGH
1.0,2018,120.0,69.19958333333334,65.23229166666667,59.49791666666667,63.166666666666664,72.405,68.59916666666668,69.11749999999999,69.79833333333333,69.91708333333334,68.4525,71.37291666666667,66.86675,68.967,70.5365,60.73975,70.2115,71.01599999999999,67.39375,59.79208333333333,68.52625,65.859375,69.36208333333333,59.86479166666667,66.25229166666666,67.99770833333334,66.85166666666667,67.31958333333334,67.675,62.638999999999996,70.14275,67.07825,63.469500000000004,67.7955,70.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2019,120.0,67.42958333333333,64.365,66.76375,66.16708333333334,68.504375,60.116875,68.71666666666667,64.625625,68.55958333333334,69.58125,64.51458333333333,61.720416666666665,67.76041666666667,68.299375,62.74895833333333,67.31083333333333,69.04583333333333,72.3575,61.949375,72.13395833333333,66.62041666666667,76.40854166666666,57.94291666666666,67.31583333333333,75.90145833333334,74.80583333333333,73.885625,71.913125,67.59541666666667,72.15875,74.15895833333333,64.7,73.27520833333334,75.030625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2020,120.0,56.73354166666667,50.54791666666667,54.986250000000005,56.7175,59.590624999999996,52.68270833333333,58.294999999999995,51.79770833333333,58.56333333333333,56.48520833333333,55.852291666666666,46.606875,57.28604166666667,58.909375000000004,57.98166666666666,56.98583333333334,58.029583333333335,72.03916666666667,77.15041666666666,73.64729166666667,68.52770833333334,73.08624999999999,58.628125000000004,65.95875,72.75604166666666,75.67854166666667,73.82979166666667,70.85625,70.65083333333334,71.76520833333333,74.16333333333334,65.61999999999999,73.76291666666667,71.80041666666666,70.79928571428572,75.77821428571428,69.64285714285714,70.81678571428571,71.09857142857143,67.80142857142857,64.175,71.59035714285714,73.61928571428572,71.91499999999999,71.10214285714287,75.39607142857143,70.53678571428571,71.80607142857143,63.89821428571429,74.40964285714287,69.53464285714286,75.12071428571429,78.0425,75.87642857142858,74.36071428571428,76.21857142857142,73.07571428571428,65.43821428571428,76.78857142857143,78.69892857142858,76.69142857142857,75.22571428571429,79.53999999999999,76.84928571428573,73.93785714285715,69.62571428571428,78.91892857142857,73.87857142857142
1.0,2021,120.0,52.98041666666666,51.361250000000005,47.5325,53.496874999999996,53.68333333333334,47.97958333333333,55.87854166666667,46.540416666666665,54.096666666666664,54.365833333333335,50.40166666666667,44.33479166666667,51.928958333333334,58.1225,57.618750000000006,52.684374999999996,52.63604166666667,67.77729166666667,68.92958333333333,67.45270833333333,72.78770833333333,67.33166666666666,63.849375,61.03916666666667,69.06145833333333,72.78354166666666,68.595625,69.43791666666667,69.81854166666666,67.413125,70.42812500000001,61.36270833333333,68.239375,69.31854166666666,64.83166666666666,66.24833333333333,65.78125,69.836875,64.27833333333334,61.99666666666667,58.19958333333333,65.310625,70.131875,65.73145833333334,66.62895833333333,68.11208333333333,63.93375,67.42333333333333,59.486041666666665,64.99249999999999,66.2925,70.72229166666666,71.61041666666667,69.12270833333334,75.73791666666666,70.385,65.7025,63.878125000000004,72.81375,75.43520833333334,71.4575,72.24708333333334,71.525625,70.89125,73.43333333333334,63.240625,71.485625,72.344375
1.0,2022,120.0,58.06708333333333,58.587291666666665,62.42729166666667,48.35729166666667,60.09520833333334,59.79020833333333,58.975833333333334,55.41291666666667,53.70875,57.890625,56.555,51.176874999999995,57.06833333333333,62.073125,51.96041666666667,60.340624999999996,59.7225,61.11541666666667,55.24645833333333,61.495,55.678125,63.87354166666666,52.55125,55.73520833333333,61.263749999999995,69.34916666666668,58.2875,61.78229166666667,51.63104166666667,59.040416666666665,69.40104166666667,52.72270833333334,60.10916666666666,66.50916666666667,59.80416666666667,53.786249999999995,58.89895833333333,55.858125,62.483125,49.80875,55.418749999999996,58.89041666666666,67.40020833333334,56.19020833333334,61.80895833333333,51.057291666666664,57.868125,67.85166666666667,52.572916666666664,59.16229166666667,64.35395833333332,62.427708333333335,56.70666666666667,64.09041666666667,55.49854166666666,65.26208333333334,55.29208333333333,56.05125,63.637708333333336,71.298125,60.38520833333333,61.75625,52.20416666666667,60.21145833333333,70.950625,52.8725,61.05625,68.665
1.0,2023,120.0,68.66083333333334,67.58166666666666,62.425625,67.060625,69.93458333333334,69.06291666666667,68.40145833333334,72.42520833333333,61.948125000000005,64.31625,72.67041666666667,67.96104166666667,66.15104166666667,73.93291666666667,59.310624999999995,67.02270833333334,74.828125,68.75041666666667,63.081250000000004,70.62666666666667,63.529583333333335,70.78083333333333,55.221875000000004,66.99354166666667,70.63291666666667,68.7025,64.26062499999999,71.38250000000001,66.23583333333333,66.825625,72.51479166666667,57.47625,66.78020833333333,75.77291666666666,66.86,61.062083333333334,68.27270833333334,62.46666666666667,69.020625,52.85333333333333,65.41958333333334,68.94500000000001,65.236875,61.950625,70.06166666666667,64.41291666666667,65.151875,70.126875,55.669375,65.03125,73.904375,70.63979166666667,65.10083333333334,72.97875,64.59125,72.54166666666667,57.59041666666667,68.56604166666666,72.32000000000001,72.16791666666667,66.57041666666667,72.70416666666667,68.05749999999999,68.49770833333334,74.903125,59.28229166666667,68.52958333333333,77.64083333333333
2.0,2018,220.0,59.85208333333333,58.57583333333333,56.887708333333336,59.70770833333333,65.54770833333333,59.22020833333334,55.611041666666665,61.87979166666667,61.935624999999995,60.72020833333334,60.087291666666665,58.481500000000004,60.73475,60.158,56.814750000000004,60.2435,64.0085,54.99645833333333,53.92958333333333,56.51541666666666,57.18729166666666,57.93479166666666,51.33229166666666,50.673750000000005,56.19770833333334,58.91645833333333,56.21958333333333,54.838125,55.98175,53.75475,57.41875,54.100750000000005,54.605,59.71975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2019,220.0,58.525416666666665,58.18604166666666,58.09312499999999,59.066875,62.28895833333333,54.10874999999999,61.888125,55.486875,59.84520833333334,58.182916666666664,58.490833333333335,51.291875000000005,57.96479166666666,62.850625,57.09041666666667,59.38729166666667,63.361041666666665,54.790625,54.149791666666665,60.606458333333336,56.445,62.298750000000005,47.36625,50.229375000000005,52.695,58.20979166666667,55.18645833333333,55.43687499999999,50.30895833333333,55.974375,56.69208333333333,52.84916666666667,56.02791666666667,59.15229166666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2020,220.0,60.064375000000005,60.933125,52.314375000000005,52.24625,62.92104166666667,51.75791666666667,60.6525,48.79,62.93895833333334,59.440416666666664,61.73791666666667,56.16229166666667,59.636875,62.974375,62.701458333333335,58.30791666666667,62.026875,59.643750000000004,58.546458333333334,65.15020833333334,62.79083333333333,66.12625,56.56708333333333,52.390625,58.18416666666667,63.97083333333333,60.157916666666665,59.860625,66.33666666666666,55.12270833333333,67.22520833333333,58.565416666666664,52.88958333333333,72.568125,55.12535714285714,53.48892857142857,58.66571428571428,61.50107142857143,62.239285714285714,59.21035714285715,46.28928571428571,53.28142857142857,60.53285714285715,57.66428571428571,54.23357142857143,60.832499999999996,50.8725,65.29571428571428,51.14071428571429,49.47714285714286,70.37357142857142,60.026785714285715,58.7525,63.9775,68.52714285714286,65.92928571428571,61.691428571428574,51.403571428571425,57.57035714285714,65.91464285714285,62.347500000000004,59.08642857142858,67.365,56.020357142857144,66.58178571428572,56.87464285714286,54.48107142857143,72.51464285714286
2.0,2021,220.0,51.19770833333334,51.89166666666667,50.748124999999995,50.165,49.24208333333333,52.62166666666667,59.029374999999995,42.69229166666667,55.18687499999999,49.86708333333333,53.894375,44.99166666666667,51.588541666666664,52.95541666666667,48.76104166666667,46.85041666666667,59.878750000000004,54.281666666666666,53.94229166666667,54.73520833333333,61.72291666666666,54.009791666666665,63.685833333333335,52.16020833333334,48.858958333333334,62.15979166666667,54.00083333333333,57.96104166666667,51.342083333333335,54.73583333333334,57.87708333333333,48.40020833333333,54.09291666666667,63.56166666666667,51.28625,51.26291666666666,52.92124999999999,57.73854166666666,51.640625,60.814166666666665,48.623333333333335,44.850625,60.245416666666664,50.709375,55.81354166666667,47.14833333333333,51.710208333333334,55.54604166666667,45.009166666666665,51.21104166666667,61.53541666666666,57.27666666666667,56.62083333333334,56.551874999999995,65.70666666666666,56.37875,66.55854166666667,55.69854166666667,52.86604166666667,64.07270833333332,57.29229166666667,60.11000000000001,55.535625,57.76145833333334,60.208124999999995,51.791666666666664,56.97354166666667,65.58729166666667
